ITEM: TIMESTEP
10010
ITEM: NUMBER OF ATOMS
800
ITEM: BOX BOUNDS pp pp pp
-2.5944702560629246e-01 8.6474470256062332e+00
-7.0800209028248489e+00 2.5003987090282470e+02
-5.4400000000000004e+00 1.4560000000000000e+01
ITEM: ATOMS id vz vx vy 
335 -5.92236 -2.11322 4.45373 
321 3.79167 -0.943729 -7.37708 
336 -0.652237 -3.53822 -4.92497 
339 -2.87141 0.804484 2.42273 
346 1.2883 8.55561 1.17963 
340 3.06154 1.55572 -6.76491 
349 0.0773918 3.75795 1.9543 
343 2.86808 3.1271 -2.90226 
350 2.74822 2.89668 2.50909 
344 -6.70004 0.462853 -3.11994 
345 10.1959 -1.56175 -2.12798 
347 11.6649 -0.499356 -1.79099 
338 6.80395 -0.577271 3.38204 
348 7.34111 -5.17119 1.09492 
341 1.05238 5.34492 1.18067 
351 2.34382 1.41956 -4.25532 
342 3.36113 5.62691 1.62745 
352 0.50991 -0.0448916 0.0357009 
337 3.26306 1.15992 -4.35236 
379 6.64788 -4.39094 -0.727003 
380 0.906433 -0.830292 -12.0225 
383 1.52899 1.48151 -1.1349 
384 2.49049 -1.97579 2.07381 
370 1.52866 -0.816945 8.64841 
387 0.695877 3.22151 1.31294 
373 1.95504 9.62404 1.26776 
388 2.87144 -2.97533 -2.2875 
374 -0.270853 2.25067 2.27367 
391 -5.00318 1.78452 7.0257 
369 7.57873 0.301678 -4.53484 
392 -6.56862 -3.47142 2.73917 
394 -1.19245 -2.86495 1.66967 
397 1.83704 -5.39023 -10.5604 
398 4.18108 0.168069 -0.698583 
393 -1.68983 8.10988 2.96312 
395 -2.75864 1.90135 1.264 
386 -3.05909 -2.59605 -4.33532 
389 3.03531 3.39907 -4.8424 
396 0.397629 4.8948 1.52219 
390 -2.06797 1.56476 11.1259 
399 -2.18022 5.73902 -0.86044 
385 3.69504 -5.29753 3.05781 
400 1.6908 1.94434 -9.60194 
355 11.7961 0.652332 -0.293617 
356 -2.15043 -5.60429 -4.50185 
359 2.02209 -3.94361 -1.10197 
360 0.758914 -1.5857 3.71048 
363 3.82009 -3.01966 0.468941 
362 -2.07174 -5.34403 2.00208 
365 -2.54792 3.62741 0.940023 
364 1.28465 8.87313 -13.2269 
366 -0.272025 5.43148 -2.8559 
367 3.75138 7.09765 -9.09999 
361 1.54126 -4.77431 0.820704 
368 6.0219 3.42496 -4.17435 
354 8.51512 -9.26289 0.890427 
371 -5.50087 3.71698 0.327355 
357 5.81107 -3.44586 7.34787 
372 11.8205 -3.98113 -9.14651 
358 -2.00673 1.65284 -9.14584 
375 8.01821 4.40337 4.40889 
353 -0.0605623 6.30462 -2.72763 
376 -3.28307 2.69849 0.579726 
378 10.8525 1.15819 -6.89253 
381 8.20739 4.26486 11.1985 
382 -2.05598 -2.91751 1.87897 
377 1.27497 5.78568 -4.17594 
403 12.1104 -3.8211 -9.13519 
410 2.04829 -1.95331 1.54236 
404 -5.6783 -0.866249 1.01255 
413 4.56333 1.37133 -2.59595 
407 -0.860925 4.47345 -0.840653 
414 -7.82768 -0.972472 3.67089 
408 5.83056 -2.87139 -7.27172 
409 -3.19391 8.74783 -0.535888 
411 6.10314 2.33907 1.39219 
402 -3.2071 -1.04198 5.84547 
412 0.962622 2.85488 -5.06346 
405 -2.13841 3.08404 -5.07987 
415 4.73718 -6.90714 4.66822 
406 -3.28907 -4.30038 4.33329 
416 -3.14489 9.26115 -2.50624 
401 -3.02243 1.36498 -8.63043 
419 -0.0476802 6.21101 0.605849 
420 -3.51699 -7.32525 -6.05946 
423 -1.42173 -0.69973 1.17038 
424 -0.049679 -1.19301 5.12941 
426 3.86465 -3.60707 -5.27313 
427 -8.3272 -0.0973873 6.42127 
429 3.63307 2.69487 -5.33179 
428 -2.85298 -2.0181 2.46023 
430 1.80979 -1.56268 -7.99816 
431 -1.8244 7.36005 -1.26058 
425 5.01157 -4.39609 -5.15545 
432 1.8701 2.52706 2.1073 
418 6.97125 4.66014 6.91719 
435 3.11871 0.9102 1.92382 
421 -0.0669778 -2.04026 9.70395 
436 1.41862 3.98136 2.86304 
439 -1.7658 3.84396 1.38237 
422 -4.70044 0.683807 -1.14201 
417 2.63645 -8.03002 -4.36487 
440 -3.43826 1.40008 -5.49915 
442 -7.97168 -0.238869 3.23966 
443 -3.07127 -7.68058 -5.03222 
445 -5.08806 5.09785 -3.11545 
444 3.36355 7.23983 1.43028 
446 0.47091 -9.70637 -1.32033 
447 5.94604 -3.78519 -2.39556 
441 2.56615 1.63136 4.49007 
448 -5.87007 1.93601 5.00094 
434 -11.5655 -1.50417 2.97474 
451 -0.280926 0.665087 7.12166 
437 -4.13267 -7.42881 9.17798 
452 -5.48043 2.58404 -8.72529 
438 11.1327 0.241081 -3.23867 
455 -2.66714 1.28742 -3.67617 
433 4.47461 0.454986 2.96652 
456 -3.80406 -5.90091 11.2886 
458 -3.94112 1.22624 2.12797 
461 -4.46306 2.74279 -6.18222 
462 -3.17387 -0.115276 -7.80187 
457 -2.75131 1.25642 -0.753631 
450 4.37901 0.696883 -8.17635 
459 -2.01321 -2.0864 -1.99658 
453 3.25399 -6.04744 -0.0393555 
460 -1.75034 -0.939424 -1.72601 
454 4.87235 7.62976 -2.25432 
463 -1.75511 -1.72635 -0.00835537 
464 -3.29564 3.45518 -4.35488 
449 4.13861 5.05784 -3.09324 
467 -6.17794 -7.61863 -2.02712 
474 10.848 10.3303 2.32222 
468 2.28599 -7.23431 -0.253164 
477 -7.87257 -4.53974 1.87814 
471 5.22351 5.72038 -6.85595 
478 0.0581467 3.71383 -3.18243 
472 -3.03697 6.41598 0.841737 
473 -0.507636 6.52018 -2.93148 
475 -1.3496 -6.30848 -3.04346 
466 0.864381 0.00740978 0.841715 
476 0.839236 -2.17148 -1.38531 
469 4.45514 -1.25912 -6.98489 
479 3.92754 0.134981 -2.52853 
470 -3.45093 -14.4679 -3.71759 
480 -0.389859 -6.45179 4.60869 
465 3.44608 -6.11115 6.50228 
483 -3.00698 10.1429 8.70775 
484 8.01565 -1.63711 2.50991 
487 5.27227 6.6285 8.54074 
488 10.3347 -0.396 1.91814 
490 5.27225 5.88896 3.48451 
491 0.881847 -6.83397 -6.13426 
493 -3.57858 -1.01038 2.4211 
492 -2.1955 3.35831 1.61834 
494 6.92607 4.20702 -5.52604 
495 4.97958 2.86647 0.396843 
482 -0.348145 5.26823 5.17308 
499 5.07505 10.895 0.41837 
500 -2.28541 -1.59173 -4.70256 
485 -1.65996 9.92746 2.32712 
503 -2.74662 0.414186 -4.4624 
486 -0.370781 -1.91409 -2.06826 
481 2.87769 -0.142584 -2.44715 
489 -5.68549 4.49444 5.04262 
496 -1.03717 -1.38727 -5.5516 
504 -5.86555 -0.835137 1.31026 
509 1.59062 0.396889 -2.73669 
506 -13.4602 2.19153 -0.214697 
507 -7.68026 4.56266 -1.17913 
508 -8.49148 3.45716 3.32432 
510 -4.27247 -0.429875 -2.21057 
511 2.79891 -1.38274 11.3049 
505 -3.72125 2.98794 -2.4655 
512 0.61896 -2.85872 -0.0471246 
498 5.92188 0.456303 -3.43481 
515 -1.86837 -4.92489 -1.71934 
501 0.322017 -5.46735 7.29725 
516 -1.37583 4.73989 -4.76534 
502 -5.22698 4.38899 -1.06607 
519 0.00467292 -3.25328 -5.88046 
497 4.00183 4.31282 -5.91131 
520 -6.95454 -7.87914 -7.74034 
522 5.7188 -4.32571 -3.60919 
525 -8.81622 2.16931 5.49369 
526 -1.67055 2.08952 -8.39879 
521 -4.20548 0.75939 -0.71301 
523 -3.13017 -6.52326 -7.70285 
514 -10.5043 -0.900435 3.03548 
524 4.77248 4.38528 1.87217 
517 -4.35167 -1.33859 -6.08824 
527 1.36605 -0.627049 7.98039 
518 -5.53485 4.90985 -5.88235 
528 0.300073 0.0105058 -3.10822 
513 -2.50438 -2.65611 -8.20995 
531 11.5854 10.8275 -7.46339 
538 -2.04573 3.12574 7.99882 
532 -0.0106421 -3.72376 -8.71228 
541 -3.83988 -1.81224 -5.10866 
535 -3.43418 3.37197 -5.33137 
542 -0.758668 -4.80592 0.600611 
536 3.82412 7.41917 -0.274427 
537 -5.85191 5.28308 5.19761 
530 5.52703 -0.171279 2.61827 
539 -4.26822 3.39454 -8.56071 
533 -4.66839 5.5141 -1.97957 
540 -8.4776 4.74593 -0.656048 
534 -0.0435934 -1.6447 3.66493 
543 6.69474 -0.696698 4.87354 
529 0.864848 -3.0362 -6.69856 
544 -1.98994 0.929129 -4.35817 
547 -1.40966 6.35092 -1.18576 
548 3.60855 -6.10904 -3.51475 
551 -5.85174 6.05297 -2.99917 
552 1.00817 6.95914 -4.93506 
554 -4.1124 4.31346 -0.220224 
555 -5.43625 1.81674 0.793937 
556 8.69843 1.65198 2.65789 
557 3.18535 0.107483 -2.9897 
559 -0.966096 -5.32712 16.3936 
558 -3.52057 -2.4833 -1.23764 
560 7.77499 -5.57848 0.0807268 
553 1.47993 -2.7076 2.68789 
546 -3.58806 -4.81731 1.29876 
563 2.05316 4.52778 -0.877703 
549 -1.604 0.107782 -7.71174 
564 1.08201 2.03308 3.5724 
550 1.44592 3.87509 -2.30967 
567 -5.50299 1.0849 4.91168 
545 -7.12509 -2.95588 1.29547 
568 -4.73105 2.98364 -2.54163 
571 0.885359 0.637975 2.15545 
570 -7.69523 -10.0023 -2.08043 
572 -6.75327 -3.56479 -1.89086 
573 3.18196 3.06472 -3.03393 
574 4.8022 -5.24476 -1.44506 
575 3.70625 5.79819 1.72568 
576 1.28203 1.70005 -1.57096 
569 1.24562 -4.74575 -3.13205 
579 0.930616 1.50148 1.53744 
562 3.07075 1.07909 2.52496 
580 2.62638 7.88004 -3.73982 
565 -1.60987 2.87963 3.51577 
583 -0.125137 3.00301 -4.32043 
566 5.82622 2.58496 1.48545 
584 6.44126 2.56193 4.248 
561 -5.91811 2.36624 -5.67203 
586 3.51873 1.91462 1.5601 
589 -9.70762 -3.10039 5.50255 
590 -6.67288 -2.19171 -6.25698 
585 -5.51518 4.15652 0.883392 
587 4.81449 4.98247 1.81203 
592 1.9267 6.61768 1.38576 
578 1.6239 1.01746 1.90103 
588 -4.20335 -2.11214 0.820851 
581 -0.852778 -3.48818 -6.47928 
591 -6.83008 5.92645 -3.58265 
582 11.6451 -7.39117 9.32978 
577 -7.20343 -2.22449 -1.6339 
595 -6.65415 -1.71453 -4.45458 
602 0.857102 1.43102 -0.221656 
596 1.14827 7.00679 0.556124 
605 -5.07886 0.603925 -3.77984 
599 -3.20743 6.03678 -2.27844 
606 4.12432 -11.7215 0.294085 
601 0.820715 2.27229 -5.52351 
600 2.15658 -5.86649 8.16187 
594 -6.47506 -4.07864 11.7337 
603 -0.0956666 -3.27446 6.68829 
597 2.44445 1.42248 10.8932 
604 0.71061 -2.46561 9.70605 
598 0.742813 -1.41492 4.67152 
607 1.09078 -0.58705 -5.90955 
593 -3.56383 -4.85663 3.95082 
608 -7.95126 1.65707 3.17668 
611 7.67089 3.50488 -0.675425 
618 2.37937 -2.36039 1.79129 
612 -0.907194 -4.99032 2.50333 
621 0.85155 -2.99776 3.41588 
615 3.31043 -9.10978 -7.35306 
622 0.375565 -2.52595 5.22697 
616 -2.7834 4.84686 0.898006 
617 -4.57815 3.57858 8.14204 
619 1.12945 -4.86539 -4.60605 
620 -5.47893 -0.702061 -5.95837 
623 0.710594 2.87873 9.5451 
624 1.18268 -1.40299 6.78079 
610 0.963422 3.25565 -9.99343 
627 7.44631 4.05541 -4.83976 
613 -3.08826 -1.40009 0.479758 
628 0.66089 1.69346 7.57123 
614 2.2711 -1.60669 -5.31949 
631 6.56919 0.509152 1.34068 
609 -0.879522 -0.583783 -3.59617 
632 0.881615 -1.74714 2.22796 
635 0.278067 -0.454789 -2.3686 
634 0.0606641 -1.50322 1.00385 
636 -5.8162 1.12525 -6.20019 
637 -1.58792 -0.159054 -4.22433 
639 -5.25161 4.64767 -0.445598 
638 2.69621 -0.433339 4.52431 
633 1.39871 -3.44461 8.27738 
640 -4.55021 2.0459 3.30076 
643 8.17268 -4.76099 6.12191 
626 -3.49532 5.56441 -3.26302 
629 0.182921 5.94093 -4.76786 
644 2.86114 -8.03463 -2.7139 
630 2.91518 -0.283292 3.65454 
647 1.07907 -0.4919 -8.61259 
648 -7.71919 0.792651 0.484196 
625 -1.01166 -2.13954 2.06074 
650 3.12387 5.94801 2.20587 
653 10.7792 -6.20732 3.45634 
654 -3.18072 -0.583319 2.65867 
649 -2.06311 -4.94196 -0.58725 
642 1.47999 -5.04201 -4.05454 
651 5.09865 -7.36791 7.55771 
645 4.36007 -1.12974 -3.60787 
652 5.5141 -2.87446 5.57103 
646 1.59295 -1.40861 -0.0407167 
655 11.4826 -2.16508 4.55368 
641 5.56026 -6.3713 4.00318 
656 -1.06049 2.60486 -4.17616 
659 -0.696859 8.82622 -2.97495 
666 -3.06302 1.78452 -2.62268 
660 -2.15112 -3.6406 1.15996 
669 5.92379 2.90974 0.754216 
663 7.33123 -2.94097 -0.936105 
670 5.97466 10.3871 -5.19671 
664 6.60256 -4.34267 -0.629381 
665 -7.4316 -5.73122 7.3593 
658 1.43717 -2.94365 4.6188 
667 -0.314109 -4.56519 -4.52503 
661 -1.47284 0.0798006 -4.30282 
668 6.11768 1.27527 -4.26009 
662 -1.52548 3.41879 -0.574395 
671 6.47433 1.5109 -10.3758 
657 -1.48865 0.636747 0.283085 
672 -0.084508 -16.372 4.53864 
675 0.96744 -2.69267 -4.00234 
676 -8.78565 5.66405 -4.1299 
685 0.522384 -3.89832 -4.11254 
679 -6.16505 2.94844 2.07048 
686 0.457976 5.93737 -3.8567 
680 -3.14472 0.668633 -4.0649 
682 -1.22598 1.40987 -5.8775 
683 -2.79101 5.32888 -3.96452 
684 -0.929824 -7.4093 3.88676 
687 0.924238 -4.67757 2.84241 
681 -7.91873 1.16423 0.573158 
688 -7.13069 2.2203 -7.96811 
674 -12.7581 -2.3252 1.08132 
691 5.97395 -1.52444 -2.40187 
677 -6.75152 3.21556 4.78615 
692 -4.75756 -3.97358 -3.02291 
678 -1.34643 -1.9513 3.40281 
695 -3.05636 -2.41595 0.378411 
673 3.41542 -2.27612 2.78271 
