# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount v_temp
20000000 3200 9600
  364 0.1125 0.71875 3.00008 306.721
  365 0.1125 0.78125 3.00011 305.408
  366 0.1125 0.84375 3.00013 305.864
  367 0.1125 0.90625 3.00009 305.659
  368 0.1125 0.96875 3.00008 305.182
  369 0.1175 0.03125 3.00017 304.716
  370 0.1175 0.09375 3.00019 304.587
  371 0.1175 0.15625 3.00031 305.775
  372 0.1175 0.21875 3.00034 306.593
  373 0.1175 0.28125 3.00035 306.159
  374 0.1175 0.34375 3.0003 306.068
  375 0.1175 0.40625 3.00028 306.929
  376 0.1175 0.46875 3.00018 306.594
  377 0.1175 0.53125 3.00017 305.73
  378 0.1175 0.59375 3.00025 306.653
  379 0.1175 0.65625 3.0003 306.73
  380 0.1175 0.71875 3.00043 307.043
  381 0.1175 0.78125 3.00035 304.265
  382 0.1175 0.84375 3.00025 305.337
  383 0.1175 0.90625 3.00019 304.839
  384 0.1175 0.96875 3.00015 304.329
  385 0.1225 0.03125 3.00028 305.505
  386 0.1225 0.09375 3.00034 304.578
  387 0.1225 0.15625 3.00044 305.631
  388 0.1225 0.21875 3.00086 305.401
  389 0.1225 0.28125 3.00101 306.484
  390 0.1225 0.34375 3.00093 305.025
  391 0.1225 0.40625 3.00059 306.745
  392 0.1225 0.46875 3.00037 306.855
  393 0.1225 0.53125 3.00038 306.221
  394 0.1225 0.59375 3.0004 305.162
  395 0.1225 0.65625 3.00053 305.029
  396 0.1225 0.71875 3.00093 306.287
  397 0.1225 0.78125 3.00114 305.134
  398 0.1225 0.84375 3.00102 303.451
  399 0.1225 0.90625 3.00065 306.395
  400 0.1225 0.96875 3.00041 304.683
  401 0.1275 0.03125 3.00045 305.722
  402 0.1275 0.09375 3.00064 305.771
  403 0.1275 0.15625 3.00127 305.885
  404 0.1275 0.21875 3.0029 305.975
  405 0.1275 0.28125 3.00278 306.815
  406 0.1275 0.34375 3.00072 307.472
  407 0.1275 0.40625 3.00034 305.673
  408 0.1275 0.46875 3.00042 306.558
  409 0.1275 0.53125 3.00046 306.117
  410 0.1275 0.59375 3.00061 305.712
  411 0.1275 0.65625 3.00131 306.277
  412 0.1275 0.71875 3.00304 305.972
  413 0.1275 0.78125 3.00276 305.53
  414 0.1275 0.84375 3.00079 304.916
  415 0.1275 0.90625 3.00048 305.22
  416 0.1275 0.96875 3.00037 305.082
  417 0.1325 0.03125 3.00042 305.134
  418 0.1325 0.09375 3.00034 305.51
  419 0.1325 0.15625 3.00021 305.248
  420 0.1325 0.21875 3.00049 304.811
  421 0.1325 0.28125 3.00534 304.833
  422 0.1325 0.34375 3.00259 305.607
  423 0.1325 0.40625 3.00116 306.526
  424 0.1325 0.46875 3.00057 305.189
  425 0.1325 0.53125 3.00037 304.991
  426 0.1325 0.59375 3.00041 306.375
  427 0.1325 0.65625 3.00031 306.871
  428 0.1325 0.71875 3.00045 305.674
  429 0.1325 0.78125 3.00547 304.891
  430 0.1325 0.84375 3.0027 304.757
  431 0.1325 0.90625 3.00102 305.022
  432 0.1325 0.96875 3.00056 306.54
  433 0.1375 0.03125 3.00023 305.568
  434 0.1375 0.09375 3.00052 306.352
  435 0.1375 0.15625 3.00143 305.551
  436 0.1375 0.21875 3.00149 306.528
  437 0.1375 0.28125 2.99666 304.491
  438 0.1375 0.34375 2.99922 306.449
  439 0.1375 0.40625 2.99983 305.583
  440 0.1375 0.46875 3.00001 305.974
  441 0.1375 0.53125 3.00026 303.241
  442 0.1375 0.59375 3.00045 305.596
  443 0.1375 0.65625 3.00152 306.499
  444 0.1375 0.71875 3.00153 302.938
  445 0.1375 0.78125 2.99645 302.427
  446 0.1375 0.84375 2.99898 304.298
  447 0.1375 0.90625 2.9997 305.036
  448 0.1375 0.96875 3.00008 305.16
  449 0.1425 0.03125 2.99982 304.987
  450 0.1425 0.09375 2.9996 304.487
  451 0.1425 0.15625 2.99864 305.918
  452 0.1425 0.21875 2.99701 307.365
  453 0.1425 0.28125 2.99658 305.917
  454 0.1425 0.34375 2.99937 306.267
  455 0.1425 0.40625 3.00021 304.059
